iteration,advantage_loss_player_zero,advantage_loss_player_one,advantage_samples_player_zero,advantage_samples_player_one,strategy_samples
20,27.38139533996582,7.419905185699463,762,341,2258
40,34.14776611328125,29.930553436279297,1266,835,3627
60,29.47799301147461,23.48895835876465,1993,1259,5211
80,32.83074188232422,27.207670211791992,2422,1631,6497
100,31.565288543701172,32.38595962524414,2867,2247,8025
120,35.75077819824219,39.13739013671875,3641,2958,10292
140,26.362796783447266,33.91957092285156,4223,3534,11941
160,26.62679100036621,35.481502532958984,4793,4147,13762
180,27.54496955871582,29.1657772064209,5648,4652,15978
200,32.099525451660156,27.795900344848633,6545,5174,18629
220,25.986858367919922,30.398880004882812,7425,5714,21122
240,24.645071029663086,24.78106117248535,8267,6278,23593
260,29.46107292175293,29.1806583404541,9150,6782,25894
280,22.587081909179688,30.126903533935547,9987,7241,27991
300,27.612157821655273,28.852088928222656,10790,7676,30153
320,24.100299835205078,32.090065002441406,11703,8203,32417
340,26.291433334350586,28.143497467041016,12447,8747,34445
360,27.93640899658203,26.073688507080078,13119,9370,36487
380,23.894100189208984,28.41750717163086,13817,9892,38381
400,25.306808471679688,28.858211517333984,14405,10463,40286
420,31.156774520874023,29.311586380004883,14873,11001,41937
440,26.86762237548828,26.675695419311523,15492,11544,43796
460,24.286758422851562,25.810562133789062,15972,12070,45382
480,28.867536544799805,22.72385597229004,16525,12504,46946
500,27.59471893310547,26.31170082092285,16928,12991,48392
520,22.68108367919922,26.076263427734375,17355,13547,50212
540,23.939945220947266,29.54012107849121,17831,14075,52059
560,24.27422332763672,24.100481033325195,18335,14587,53705
580,26.86505889892578,28.51880645751953,18841,14963,55221
600,28.170841217041016,23.385671615600586,19422,15444,57089
620,24.73281478881836,35.6291618347168,19892,16005,58790
640,22.027769088745117,28.13029670715332,20404,16712,60899
660,21.368709564208984,21.714284896850586,20885,17312,62806
680,30.788742065429688,23.497339248657227,21399,17922,64833
700,31.280200958251953,25.005388259887695,21899,18627,66963
720,23.900836944580078,31.49207305908203,22396,19356,69163
740,22.924957275390625,22.25338363647461,22933,20135,71610
760,22.984670639038086,23.72023582458496,23463,20847,74034
780,19.848379135131836,22.159561157226562,23879,21388,75969
800,26.420516967773438,24.767839431762695,24348,22081,78162
820,21.799962997436523,24.403545379638672,24833,22660,80091
840,22.366830825805664,21.41162872314453,25220,23381,82274
860,21.583637237548828,25.906970977783203,25661,24103,84363
880,24.459861755371094,20.54413414001465,26047,24659,86170
900,20.142864227294922,26.90610694885254,26527,25319,88365
920,25.333314895629883,25.27944564819336,27052,25925,90400
940,22.555885314941406,23.100006103515625,27561,26769,92799
960,20.404897689819336,28.80424690246582,27977,27511,94707
980,25.346656799316406,27.291263580322266,28476,28209,96724
1000,28.393665313720703,27.055246353149414,28945,28833,98652
1020,26.290061950683594,26.268348693847656,29522,29488,100000
1040,24.55535125732422,27.042253494262695,30206,30069,100000
1060,23.5830078125,25.39435577392578,30711,30612,100000
1080,24.81646728515625,29.408456802368164,31275,31132,100000
1100,23.63812255859375,21.789342880249023,31791,31762,100000
1120,27.068557739257812,23.47092056274414,32388,32290,100000
1140,25.10104751586914,23.321697235107422,32889,32838,100000
1160,24.252540588378906,25.844223022460938,33349,33347,100000
1180,26.521793365478516,21.464351654052734,33851,33881,100000
1200,23.298538208007812,26.63496971130371,34355,34479,100000
1220,22.20538330078125,24.75800895690918,34845,35060,100000
1240,26.683883666992188,22.210063934326172,35266,35644,100000
1260,23.249311447143555,25.27013397216797,35758,36299,100000
1280,31.952829360961914,27.68745231628418,36193,36834,100000
1300,21.20526123046875,24.950788497924805,36680,37472,100000
1320,22.213985443115234,24.86733055114746,37111,37970,100000
1340,24.122583389282227,22.717823028564453,37675,38620,100000
1360,21.756183624267578,23.619224548339844,38079,39169,100000
1380,24.65481185913086,23.474105834960938,38513,39729,100000
1400,21.750389099121094,21.615833282470703,39017,40314,100000
1420,22.316814422607422,29.78574562072754,39408,40809,100000
1440,22.128259658813477,22.361499786376953,39932,41333,100000
1460,25.48175811767578,19.512083053588867,40440,41683,100000
1480,25.07879638671875,24.2591552734375,40806,42167,100000
1500,20.115690231323242,21.494884490966797,41217,42622,100000
1520,23.877872467041016,22.27330780029297,41626,43155,100000
1540,21.70773696899414,22.239519119262695,42024,43676,100000
1560,25.784414291381836,22.297945022583008,42565,44079,100000
1580,24.621213912963867,29.22153663635254,43043,44654,100000
1600,25.81006622314453,20.25079917907715,43438,45071,100000
